"","game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
"24",63116,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,309,"Louisiana","fbs","FBS Independents",14,NA,NA,NA,2534,"Sam Houston",NA,NA,21,NA,NA,NA,NA,"",NA
"25",63115,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,164,"Rutgers","fbs","Big East",34,NA,NA,NA,222,"Villanova",NA,NA,21,NA,NA,NA,NA,"",NA
"26",63111,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,204,"Oregon State","fbs","Pac-10",21,NA,NA,NA,331,"Eastern Washington",NA,NA,19,NA,NA,NA,NA,"",NA
"27",63103,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,142,"Missouri","fbs","Big 12",50,NA,NA,NA,2710,"Western Illinois",NA,NA,20,NA,NA,NA,NA,"",NA
"28",63096,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,99,"LSU","fbs","SEC",58,NA,NA,NA,2717,"Western Carolina",NA,NA,0,NA,NA,NA,NA,"",NA
"29",63086,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,228,"Clemson","fbs","ACC",38,NA,NA,NA,2643,"The Citadel",NA,NA,0,NA,NA,NA,NA,"",NA
"30",63083,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,8,"Arkansas","fbs","SEC",38,NA,NA,NA,2623,"Missouri State",NA,NA,0,NA,NA,NA,NA,"",NA
"31",63081,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2005,"Air Force","fbs","Mountain West",55,NA,NA,NA,1000887,"Cal State Northridge",NA,NA,6,NA,NA,NA,NA,"",NA
"32",63099,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,130,"Michigan","fbs","Big Ten",42,NA,1753,1807,189,"Bowling Green","fbs","Mid-American",7,NA,1399,1345,NA,"",NA
"33",63101,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,145,"Ole Miss","fbs","SEC",49,NA,1643,1686,2655,"Tulane","fbs","Conference USA",20,NA,1355,1312,NA,"",NA
